iter	Passed	Remaining
0	152	152617
1	154	77113
2	156	51905
3	158	39393
4	160	31861
5	161	26740
6	162	23071
7	164	20355
8	165	18217
9	166	16498
10	167	15102
11	169	13935
12	170	12966
13	172	12140
14	174	11454
15	175	10802
16	177	10235
17	178	9735
18	179	9274
19	180	8863
20	182	8495
21	183	8154
22	185	7862
23	186	7595
24	188	7355
25	189	7114
26	191	6889
27	192	6681
28	193	6489
29	195	6309
30	196	6137
31	197	5978
32	199	5843
33	201	5719
34	202	5595
35	204	5467
36	205	5348
37	206	5235
38	208	5127
39	209	5022
40	210	4925
41	211	4835
42	213	4747
43	215	4671
44	216	4598
45	217	4520
46	219	4445
47	220	4374
48	221	4305
49	223	4238
50	224	4174
51	225	4114
52	226	4052
53	228	3994
54	229	3948
55	231	3902
56	232	3850
57	233	3799
58	235	3750
59	236	3704
60	237	3658
61	238	3614
62	240	3571
63	241	3530
64	242	3491
65	244	3454
66	245	3421
67	247	3388
68	248	3353
69	249	3318
70	251	3285
71	252	3252
72	253	3219
73	254	3189
74	256	3158
75	257	3129
76	258	3102
77	260	3077
78	261	3052
79	263	3024
80	264	2997
81	265	2973
82	266	2942
83	267	2919
84	269	2896
85	270	2873
86	271	2850
87	273	2829
88	274	2808
89	276	2790
90	277	2771
91	278	2751
92	280	2731
93	281	2712
94	282	2692
95	284	2674
96	285	2656
97	286	2639
98	288	2621
99	289	2604
100	290	2589
101	292	2573
102	293	2557
103	294	2541
104	296	2525
105	297	2510
106	298	2494
107	300	2478
108	301	2463
109	302	2449
110	304	2435
111	305	2421
112	306	2409
113	308	2395
114	309	2382
115	310	2369
116	312	2355
117	313	2342
118	314	2330
119	316	2317
120	317	2305
121	318	2291
122	319	2280
123	321	2269
124	322	2258
125	323	2247
126	325	2234
127	326	2223
128	327	2212
129	328	2201
130	330	2190
131	331	2179
132	332	2169
133	334	2159
134	335	2150
135	336	2140
136	338	2130
137	339	2120
138	340	2110
139	342	2101
140	343	2092
141	344	2080
142	345	2070
143	346	2061
144	348	2052
145	349	2043
146	350	2036
147	352	2027
148	353	2018
149	354	2009
150	356	2001
151	357	1993
152	358	1985
153	359	1977
154	361	1969
155	362	1961
156	363	1953
157	365	1945
158	366	1939
159	368	1932
160	368	1922
161	370	1915
162	371	1907
163	372	1900
164	373	1892
165	375	1885
166	376	1878
167	377	1871
168	379	1864
169	380	1858
170	382	1852
171	383	1847
172	385	1841
173	386	1836
174	388	1830
175	389	1824
176	391	1821
177	393	1816
178	395	1811
179	397	1810
180	399	1806
181	401	1803
182	403	1800
183	405	1796
184	406	1792
185	408	1788
186	411	1787
187	414	1788
188	416	1785
189	418	1782
190	420	1781
191	423	1782
192	425	1780
193	429	1784
194	431	1782
195	433	1778
196	435	1776
197	437	1774
198	440	1772
199	443	1773
200	445	1770
201	447	1767
202	450	1767
203	452	1763
204	454	1761
205	458	1768
206	461	1766
207	463	1765
208	465	1761
209	467	1757
210	469	1754
211	471	1752
212	477	1764
213	479	1761
214	482	1760
215	484	1759
216	487	1760
217	490	1758
218	492	1756
219	496	1759
220	499	1762
221	504	1769
222	507	1769
223	509	1766
224	512	1765
225	514	1761
226	517	1761
227	519	1758
228	522	1757
229	526	1761
230	528	1757
231	530	1755
232	533	1754
233	536	1755
234	539	1756
235	541	1754
236	544	1752
237	547	1754
238	551	1756
239	555	1760
240	558	1758
241	560	1757
242	564	1759
243	568	1760
244	572	1762
245	575	1763
246	580	1769
247	584	1773
248	586	1769
249	589	1769
250	598	1785
251	602	1786
252	604	1783
253	606	1780
254	609	1781
255	613	1783
256	616	1782
257	619	1780
258	621	1778
259	625	1780
260	628	1780
261	632	1781
262	635	1781
263	637	1776
264	641	1779
265	643	1776
266	648	1779
267	652	1782
268	656	1783
269	659	1781
270	662	1781
271	664	1778
272	667	1778
273	672	1782
274	675	1782
275	680	1785
276	682	1782
277	686	1783
278	689	1782
279	694	1784
280	696	1781
281	698	1777
282	702	1779
283	704	1776
284	709	1779
285	711	1777
286	715	1776
287	719	1778
288	723	1779
289	727	1781
290	729	1777
291	733	1777
292	734	1772
293	736	1769
294	741	1772
295	743	1768
296	746	1766
297	749	1766
298	756	1773
299	759	1771
300	761	1768
301	764	1767
302	769	1769
303	774	1773
304	777	1771
305	782	1774
306	784	1771
307	786	1767
308	788	1764
309	790	1760
310	792	1756
311	794	1751
312	795	1746
313	798	1744
314	801	1743
315	805	1742
316	807	1739
317	809	1735
318	810	1731
319	813	1727
320	814	1723
321	816	1720
322	818	1716
323	820	1711
324	822	1708
325	824	1703
326	825	1699
327	827	1695
328	829	1692
329	831	1688
330	833	1685
331	836	1683
332	839	1680
333	840	1676
334	843	1673
335	845	1670
336	847	1667
337	849	1662
338	850	1658
339	852	1655
340	854	1651
341	856	1647
342	859	1646
343	862	1645
344	865	1642
345	866	1638
346	868	1634
347	870	1631
348	873	1629
349	875	1625
350	877	1623
351	879	1619
352	881	1616
353	883	1612
354	885	1608
355	888	1607
356	891	1605
357	893	1601
358	895	1598
359	896	1594
360	898	1590
361	900	1586
362	901	1582
363	904	1579
364	906	1576
365	908	1572
366	909	1568
367	911	1565
368	913	1561
369	915	1558
370	917	1555
371	920	1553
372	921	1549
373	923	1546
374	925	1542
375	927	1538
376	928	1534
377	930	1531
378	932	1527
379	934	1524
380	936	1521
381	937	1517
382	939	1513
383	941	1510
384	943	1506
385	944	1503
386	946	1499
387	948	1495
388	950	1492
389	951	1488
390	953	1485
391	955	1482
392	957	1478
393	959	1475
394	960	1471
395	961	1467
396	964	1464
397	965	1460
398	967	1456
399	969	1453
400	971	1450
401	973	1447
402	974	1444
403	976	1440
404	978	1438
405	980	1434
406	982	1430
407	983	1426
408	984	1423
409	986	1419
410	988	1416
411	989	1412
412	991	1409
413	993	1406
414	996	1404
415	998	1401
416	999	1397
417	1001	1394
418	1003	1391
419	1004	1387
420	1006	1384
421	1008	1381
422	1010	1378
423	1012	1375
424	1014	1372
425	1016	1369
426	1017	1365
427	1019	1362
428	1021	1359
429	1022	1355
430	1024	1352
431	1026	1349
432	1027	1345
433	1029	1342
434	1031	1339
435	1032	1335
436	1034	1332
437	1035	1329
438	1037	1325
439	1039	1322
440	1040	1319
441	1042	1316
442	1044	1312
443	1045	1309
444	1047	1306
445	1049	1303
446	1051	1300
447	1052	1297
448	1055	1294
449	1057	1291
450	1058	1289
451	1060	1285
452	1061	1282
453	1063	1279
454	1065	1276
455	1067	1273
456	1069	1270
457	1071	1268
458	1073	1264
459	1074	1261
460	1076	1259
461	1078	1255
462	1080	1252
463	1081	1249
464	1083	1246
465	1088	1247
466	1090	1245
467	1093	1242
468	1096	1241
469	1098	1239
470	1101	1236
471	1103	1234
472	1105	1232
473	1108	1229
474	1109	1226
475	1111	1223
476	1113	1220
477	1116	1218
478	1118	1216
479	1120	1214
480	1122	1211
481	1124	1208
482	1127	1206
483	1129	1204
484	1132	1202
485	1134	1199
486	1135	1196
487	1137	1193
488	1140	1191
489	1143	1190
490	1147	1189
491	1150	1187
492	1152	1185
493	1154	1182
494	1156	1179
495	1158	1177
496	1161	1175
497	1163	1173
498	1166	1171
499	1169	1169
500	1171	1166
501	1174	1165
502	1177	1163
503	1182	1163
504	1188	1164
505	1193	1165
506	1201	1168
507	1205	1167
508	1210	1167
509	1216	1168
510	1219	1166
511	1223	1166
512	1226	1164
513	1232	1165
514	1235	1163
515	1238	1161
516	1244	1162
517	1248	1161
518	1254	1162
519	1257	1160
520	1275	1172
521	1277	1169
522	1283	1170
523	1286	1168
524	1291	1168
525	1300	1171
526	1302	1169
527	1305	1166
528	1306	1163
529	1308	1160
530	1311	1158
531	1314	1156
532	1318	1155
533	1320	1152
534	1322	1149
535	1325	1147
536	1327	1144
537	1330	1142
538	1333	1140
539	1339	1141
540	1346	1142
541	1351	1141
542	1352	1138
543	1355	1135
544	1358	1134
545	1361	1131
546	1363	1129
547	1365	1126
548	1368	1123
549	1376	1125
550	1379	1124
551	1383	1122
552	1385	1120
553	1389	1118
554	1391	1115
555	1393	1112
556	1395	1109
557	1397	1106
558	1398	1103
559	1400	1100
560	1407	1101
561	1411	1099
562	1413	1096
563	1415	1094
564	1418	1091
565	1422	1090
566	1424	1088
567	1426	1084
568	1428	1082
569	1431	1079
570	1436	1078
571	1438	1076
572	1440	1073
573	1442	1070
574	1444	1067
575	1447	1065
576	1449	1062
577	1452	1060
578	1454	1057
579	1456	1054
580	1459	1052
581	1461	1049
582	1464	1047
583	1467	1045
584	1471	1044
585	1474	1041
586	1476	1038
587	1478	1036
588	1481	1033
589	1487	1033
590	1489	1030
591	1491	1027
592	1493	1025
593	1496	1022
594	1499	1020
595	1501	1018
596	1504	1015
597	1507	1013
598	1509	1010
599	1512	1008
600	1514	1005
601	1517	1003
602	1519	1000
603	1521	997
604	1523	994
605	1527	992
606	1533	992
607	1535	989
608	1536	986
609	1538	983
610	1540	980
611	1543	978
612	1545	975
613	1548	973
614	1550	970
615	1552	967
616	1554	964
617	1557	962
618	1559	959
619	1562	957
620	1564	954
621	1566	951
622	1569	949
623	1571	947
624	1574	944
625	1575	941
626	1578	938
627	1580	936
628	1582	933
629	1584	930
630	1589	929
631	1591	926
632	1593	923
633	1595	920
634	1597	917
635	1599	915
636	1603	913
637	1606	911
638	1608	908
639	1610	905
640	1612	903
641	1614	900
642	1618	898
643	1620	895
644	1622	893
645	1624	890
646	1625	887
647	1628	884
648	1630	881
649	1632	879
650	1634	876
651	1636	873
652	1638	870
653	1639	867
654	1641	864
655	1644	862
656	1647	859
657	1649	857
658	1651	854
659	1652	851
660	1654	848
661	1656	845
662	1657	842
663	1659	839
664	1661	836
665	1662	833
666	1664	831
667	1666	828
668	1668	825
669	1669	822
670	1672	819
671	1675	817
672	1677	814
673	1679	812
674	1680	809
675	1682	806
676	1685	803
677	1686	801
678	1690	798
679	1691	796
680	1693	793
681	1694	790
682	1696	787
683	1698	784
684	1700	781
685	1702	779
686	1704	776
687	1706	773
688	1708	771
689	1710	768
690	1713	766
691	1715	763
692	1717	760
693	1720	758
694	1722	756
695	1724	753
696	1726	750
697	1728	747
698	1730	745
699	1732	742
700	1733	739
701	1736	737
702	1738	734
703	1739	731
704	1742	728
705	1744	726
706	1745	723
707	1747	720
708	1751	718
709	1753	716
710	1755	713
711	1756	710
712	1758	707
713	1760	705
714	1761	702
715	1763	699
716	1767	697
717	1768	694
718	1771	692
719	1772	689
720	1774	686
721	1776	684
722	1778	681
723	1783	679
724	1785	677
725	1787	674
726	1789	671
727	1791	669
728	1793	666
729	1795	664
730	1797	661
731	1799	658
732	1801	656
733	1803	653
734	1805	651
735	1807	648
736	1809	645
737	1813	643
738	1815	641
739	1817	638
740	1818	635
741	1820	632
742	1822	630
743	1825	627
744	1827	625
745	1830	623
746	1832	620
747	1834	618
748	1836	615
749	1838	612
750	1840	610
751	1843	607
752	1845	605
753	1847	602
754	1849	600
755	1851	597
756	1853	595
757	1857	593
758	1859	590
759	1862	588
760	1864	585
761	1866	583
762	1868	580
763	1870	577
764	1874	575
765	1875	573
766	1877	570
767	1879	567
768	1882	565
769	1884	562
770	1886	560
771	1889	558
772	1891	555
773	1893	552
774	1895	550
775	1897	547
776	1899	545
777	1903	543
